Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1742286732623,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,11.107559204101563,8.465370178222656,16.38288116455078,8.073081970214844,12.817924499511719,15.715560913085938,14.843162536621094,14.849197387695313,22.921890258789063,10.835685729980469,14.209358215332031,12.503486633300781,2501.5087280273438,4096,960,59,0,31305.255432128906,29031.39337158203,23.0296630859375,34156867584,10236112896,24863596544,2826063872
200,1742286732823,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,15.193603515625,7.02703857421875,15.346046447753906,7.85394287109375,18.981346130371094,12.322212219238281,12.960830688476563,5.279472351074219,10.597618103027344,3.7024917602539063,6.266609191894531,4.73944091796875,2501.81103515625,4096,960,59,0,31306.12908935547,29031.965881347656,23.0296630859375,34156867584,10236112896,24862449664,2825637888
200,1742286733023,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,10.31365966796875,5.423530578613281,11.546577453613281,2.7650222778320313,14.653884887695313,8.069587707519531,17.205047607421875,13.8375244140625,6.990989685058594,3.2108078002929688,11.447067260742188,5.790626525878906,2502.1113891601563,4096,960,59,0,31307.209716796875,29032.778930664063,23.0296630859375,34156867584,10236112896,24867061760,2825564160
199,1742286733224,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,11.610816955566406,12.477249145507813,19.770187377929688,5.645683288574219,17.254226684570313,12.777229309082031,17.49249267578125,6.865455627441406,11.864967346191406,6.289054870605469,11.635040283203125,6.242744445800781,2502.4343872070313,4096,960,59,0,31308.298583984375,29033.511779785156,23.0296630859375,34156867584,10236112896,24866861056,2825461760
200,1742286733424,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,14.6011962890625,27.064285278320313,16.066314697265625,12.658477783203125,23.156883239746094,15.166152954101563,28.10334014892578,5.262199401855469,11.655677795410156,19.70635986328125,21.16802978515625,5.8611602783203125,2502.741455078125,4096,960,59,0,31309.303588867188,29034.46063232422,23.03204345703125,34156867584,10236112896,24864772096,2824589312
198,1742286733626,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,7.9590606689453125,4.12359619140625,15.888175964355469,7.990974426269531,13.262779235839844,9.210647583007813,10.469978332519531,1.829010009765625,9.000518798828125,6.964317321777344,4.8637542724609375,3.2321853637695313,2503.0556030273438,4096,960,59,0,31310.56170654297,29035.203369140625,23.03204345703125,34156867584,10236112896,24865026048,2825351168
199,1742286733826,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,10.907684326171875,8.042045593261719,18.472122192382813,11.008102416992188,21.562294006347656,9.687446594238281,14.072891235351563,17.28497314453125,13.686599731445313,4.1362457275390625,8.029754638671875,9.551795959472656,2503.35546875,4096,960,59,0,31311.230041503906,29035.59112548828,23.03204345703125,34156867584,10236112896,24864804864,2825351168
200,1742286734026,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,39.572200775146484,27.816917419433594,7.749763488769531,4.032051086425781,18.45240020751953,4.7428436279296875,5.344429016113281,10.461631774902344,13.447586059570313,4.025909423828125,12.693412780761719,15.397895812988281,2503.7059326171875,4096,960,59,0,31314.606323242188,29038.630432128906,23.03204345703125,34156867584,10236112896,24864137216,2824306688
200,1742286734227,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,19.102760314941406,3.4901962280273438,11.490203857421875,3.1636962890625,20.629043579101563,7.655937194824219,11.923057556152344,7.5241241455078125,5.748268127441406,2.8305740356445313,6.628181457519531,3.5839004516601563,2504.0051879882813,4096,960,59,0,31315.49688720703,29039.27117919922,23.03204345703125,34156867584,10236112896,24864509952,2826809344
200,1742286734427,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.83673095703125,30.532127380371094,12.924629211425781,5.116157531738281,18.08525848388672,3.9820022583007813,10.182830810546875,3.24169921875,6.6333770751953125,5.873077392578125,12.541221618652344,6.566474914550781,2504.3355102539063,4096,960,58,0,31317.30126953125,29040.784729003906,23.03448486328125,34156867584,10236112896,24862781440,2827018240
