Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,SYSTEM_ENERGY (J),DIFF_SYSTEM_ENERGY (J),SYSTEM_POWER (W)
204,4271,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,21.052631378173828,15.000000953674316,4.761904716491699,0.0,10.0,10.0,9.523809432983398,0.0,9.872262954711914,17179869184,0,9626730496,0,2.0139416427612304,0.009872262954711886,0.048393445856430815
200,4477,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,20.0,14.285715103149414,5.0,9.090909004211426,15.000000953674316,20.0,5.0,9.523809432983398,9.872262954711914,17179869184,0,9626910720,0,1.974452590942383,-0.03948905181884754,-0.1974452590942377
201,4678,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,10.0,10.0,0.0,0.0,19.0476188659668,10.526315689086914,10.0,5.0,9.51267147064209,17179869184,0,9626910720,0,1.9120469655990602,-0.062405625343322724,-0.31047574797672994
204,4879,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,15.000000953674316,5.0,9.523809432983398,0.0,21.052631378173828,14.285715103149414,10.0,14.285715103149414,9.51267147064209,17179869184,0,9627664384,0,1.9405849800109862,0.02853801441192605,0.1398922275094414
201,5085,4056,4056,4056,4056,4056,4056,4056,4056,44.51028823852539,44.664432525634766,45.015506744384766,44.36935043334961,44.81929016113281,43.95916748046875,44.76584243774414,44.751766204833984,44.58810043334961,44.52720260620117,44.75273513793945,44.608795166015625,44.6745719909668,45.03682327270508,15.000000953674316,10.0,4.761904716491699,4.761904716491699,23.80952453613281,15.000000953674316,9.523809432983398,0.0,9.51267147064209,17179869184,0,9627287552,0,1.9120469655990602,-0.02853801441192605,-0.14198017120361217
202,5286,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,20.0,15.000000953674316,0.0,0.0,15.000000953674316,15.000000953674316,10.526315689086914,5.0,9.51267147064209,17179869184,0,9626664960,0,1.9215596370697023,0.009512671470642164,0.04709243302298101
203,5490,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,15.000000953674316,10.0,9.090909004211426,4.761904716491699,23.80952453613281,15.000000953674316,18.18181800842285,9.523809432983398,9.51267147064209,17179869184,0,9626730496,0,1.9310723085403443,0.009512671470641942,0.04686045059429528
204,5693,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,10.526315689086914,10.0,0.0,4.761904716491699,10.526315689086914,10.0,5.263157844543457,0.0,9.52213191986084,17179869184,0,9625993216,0,1.9425149116516112,0.01144260311126688,0.05609119172189648
201,5898,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,19.0476188659668,15.000000953674316,9.523809432983398,0.0,19.0476188659668,19.0476188659668,9.523809432983398,4.761904716491699,9.52213191986084,17179869184,0,9628221440,0,1.9139485158920289,-0.028566395759582308,-0.14212137193822044
200,6099,4056,4056,4056,4056,4056,4056,4056,4056,44.630672454833984,44.76976776123047,45.078369140625,44.53276443481445,44.95186233520508,44.05909729003906,44.89535903930664,44.87333297729492,44.693504333496094,44.693138122558594,44.89692306518555,44.72712326049805,44.77121353149414,45.13170623779297,10.526315689086914,10.0,0.0,0.0,15.000000953674316,15.000000953674316,10.0,10.0,9.52213191986084,17179869184,0,9627811840,0,1.904426383972168,-0.009522131919860843,-0.04761065959930422
